Date,Open,High,Low,Close,Adj Close,Volume
2003-01-01,513.000000,525.000000,513.000000,524.900024,429.704712,2300
2003-01-02,527.900024,528.000000,521.200012,525.200012,429.950317,1600
2003-01-03,516.049988,527.950012,516.049988,526.450012,430.973694,5000
2003-01-06,528.500000,536.000000,526.200012,528.349976,432.528992,8800
2003-01-07,528.000000,535.000000,528.000000,530.450012,434.248108,7600
2003-01-08,531.650024,538.950012,528.500000,534.849976,437.850159,35200
2003-01-09,532.549988,537.950012,532.549988,536.450012,439.159973,4100
2003-01-10,530.000000,545.000000,529.500000,543.400024,444.849579,11400
2003-01-13,548.400024,548.400024,541.500000,543.049988,444.562988,13000
2003-01-14,546.000000,548.000000,537.099976,538.450012,440.797333,10400
2003-01-15,542.000000,544.000000,535.900024,542.599976,444.194550,8000
2003-01-16,539.500000,542.000000,535.000000,536.849976,439.487549,7800
2003-01-17,535.200012,544.950012,534.000000,543.000000,444.522095,18500
2003-01-20,540.000000,540.000000,534.000000,536.549988,439.241882,9400
2003-01-21,538.000000,539.950012,530.000000,533.799988,436.990601,11500
2003-01-22,531.000000,538.000000,530.799988,535.750000,438.586884,7400
2003-01-23,540.000000,550.000000,540.000000,548.349976,448.901764,274600
2003-01-24,539.200012,545.000000,538.250000,540.049988,442.107025,11700
2003-01-27,544.000000,554.000000,531.150024,551.000000,451.071350,20500
2003-01-28,557.000000,568.000000,541.349976,552.299988,452.135468,12000
2003-01-29,538.000000,549.000000,538.000000,540.349976,442.352783,12900
2003-01-30,540.099976,547.900024,531.250000,539.200012,441.411346,15800
2003-01-31,539.250000,544.750000,528.700012,539.599976,441.738678,5200
2003-02-03,539.599976,546.000000,538.000000,540.700012,442.639282,5900
2003-02-04,545.000000,549.900024,535.250000,536.349976,439.078247,12900
2003-02-05,546.950012,546.950012,531.250000,533.500000,436.745056,7300
2003-02-06,534.049988,537.700012,530.000000,532.200012,435.680634,6700
2003-02-07,532.049988,535.000000,532.000000,532.200012,435.680634,3500
2003-02-10,529.000000,533.000000,529.000000,529.799988,433.716064,11500
2003-02-11,544.000000,544.000000,525.000000,525.299988,430.032257,9500
2003-02-12,521.299988,527.000000,521.299988,524.799988,429.622742,7300
2003-02-13,524.799988,524.799988,524.799988,524.799988,429.622742,0
2003-02-14,525.000000,531.000000,522.549988,527.549988,431.874146,3800
2003-02-17,535.950012,535.950012,528.000000,530.549988,434.330078,4200
2003-02-18,530.049988,535.000000,530.000000,533.150024,436.458466,6900
2003-02-19,533.000000,542.000000,529.400024,538.799988,441.083832,16300
2003-02-20,533.200012,539.000000,533.200012,536.500000,439.200989,2400
2003-02-21,537.000000,540.000000,532.500000,538.750000,441.042969,3900
