Date,Open,High,Low,Close,Adj Close,Volume
1997-01-01,7.488888,7.722222,7.488888,7.654444,4.594357,199728000
1997-01-02,7.677777,7.700000,7.502222,7.538888,4.524997,228190500
1997-01-03,7.511111,7.554444,7.415555,7.514444,4.510325,189981000
1997-01-06,7.466666,7.511111,7.186666,7.235555,4.342929,230337000
1997-01-07,7.200000,7.274444,6.977777,7.127777,4.278240,270684000
1997-01-08,7.288888,7.436666,7.134444,7.182222,4.310919,251383500
1997-01-09,7.155555,7.308888,7.134444,7.258888,4.356935,252481500
1997-01-10,7.378888,7.754444,7.362222,7.685555,4.613029,623070000
1997-01-13,7.744444,8.083333,7.633333,7.986666,4.793763,517153500
1997-01-14,8.111111,8.546666,8.111111,8.510000,5.107878,658503000
1997-01-15,8.644444,9.106666,8.644444,9.106666,5.466009,310860000
1997-01-16,9.355555,9.744444,8.470000,8.688888,5.215251,582808500
1997-01-17,8.333333,8.976666,8.222222,8.781111,5.270604,653031000
1997-01-20,8.977777,9.126666,8.716666,8.805555,5.285276,618597000
1997-01-21,8.733333,9.016666,8.491111,8.655555,5.195243,526873500
1997-01-22,8.955555,9.173333,8.888888,8.994444,5.398652,430974000
1997-01-23,8.994444,8.994444,8.994444,8.994444,5.398652,0
1997-01-24,8.931111,8.997777,8.577777,8.682222,5.211251,462991500
1997-01-27,8.688888,9.000000,8.606666,8.835555,5.303284,498951000
1997-01-28,8.954444,8.988888,8.733333,8.867777,5.322623,354667500
1997-01-29,9.333333,9.488888,8.990000,9.160000,5.498022,472545000
1997-01-30,9.077777,9.133333,8.823333,8.954444,5.374644,349051500
1997-01-31,8.800000,8.844444,8.557777,8.624444,5.176571,362205000
1997-02-03,8.422222,8.573333,8.288888,8.342222,5.007174,306904500
1997-02-04,8.354444,8.593333,8.333333,8.514444,5.110547,281259000
1997-02-05,8.698888,8.776666,8.457777,8.502222,5.103211,246564000
1997-02-06,8.477777,8.587777,8.300000,8.496666,5.099876,363424500
1997-02-07,8.511111,8.910000,8.411111,8.852222,5.313287,445225500
1997-02-10,8.953333,9.087777,8.724444,8.923333,5.355969,554422500
1997-02-11,8.882222,9.110000,8.834444,9.032222,5.421327,355293000
1997-02-12,9.000000,9.477777,8.977777,9.355555,5.615398,660496500
1997-02-13,9.277777,9.422222,9.267777,9.360000,5.618066,365836500
1997-02-14,9.356666,9.442222,9.332222,9.380000,5.630072,294583500
1997-02-17,9.555555,9.598888,9.306666,9.386666,5.634071,398740500
1997-02-18,9.411111,9.411111,9.044444,9.100000,5.462009,518652000
1997-02-19,9.177777,9.330000,9.097777,9.307777,5.586721,465813000
1997-02-20,9.244444,9.322222,9.184444,9.252222,5.553376,275224500
1997-02-21,9.200000,9.233333,9.090000,9.138888,5.485351,269014500
1997-02-24,9.088888,9.108888,8.694444,8.773333,5.265937,436711500
1997-02-25,8.748888,8.900000,8.488888,8.623333,5.175903,397480500
1997-02-26,8.577777,8.662222,8.385555,8.598888,5.161230,438646500
1997-02-27,8.688888,8.800000,8.578888,8.768888,5.263269,331038000
1997-02-28,9.511111,9.671111,9.248888,9.472222,5.685425,144148500
1997-03-03,9.824444,9.933333,9.605555,9.647777,5.790797,337882500
1997-03-04,9.647777,10.215555,9.557777,10.070000,6.044224,569682000
1997-03-05,10.400000,10.511111,9.923333,10.108888,6.067565,517167000
1997-03-06,9.977777,10.087777,9.891111,10.003333,6.004207,329967000
1997-03-07,10.003333,10.003333,10.003333,10.003333,6.004207,0
1997-03-10,9.831111,9.866666,9.511111,9.563333,5.740110,357646500
1997-03-11,9.488888,9.746666,9.155555,9.330000,5.600060,440041500
1997-03-12,9.601111,9.773333,9.502222,9.670000,5.804134,451084500
1997-03-13,9.723333,9.723333,9.413333,9.445555,5.669417,306225000
1997-03-14,9.377777,9.666666,9.322222,9.594444,5.758784,424129500
1997-03-17,9.600000,9.643333,9.490000,9.528888,5.719436,276655500
